<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	1.08009	1.08060	1.08000	1.08051	3167	0	6
2024.03.01	01:00:00	1.08051	1.08056	1.08021	1.08055	796	0	2
2024.03.01	02:00:00	1.08055	1.08125	1.08050	1.08113	1521	0	2
2024.03.01	03:00:00	1.08114	1.08213	1.08108	1.08212	1939	0	2
2024.03.01	04:00:00	1.08211	1.08219	1.08164	1.08182	1754	0	2
2024.03.01	05:00:00	1.08183	1.08211	1.08165	1.08168	1300	0	2
2024.03.01	06:00:00	1.08169	1.08170	1.08120	1.08135	928	0	2
2024.03.01	07:00:00	1.08135	1.08141	1.08110	1.08121	1555	0	2
2024.03.01	08:00:00	1.08121	1.08139	1.08081	1.08092	1381	0	2
2024.03.01	09:00:00	1.08092	1.08176	1.08086	1.08125	3698	0	2
2024.03.01	10:00:00	1.08125	1.08198	1.08089	1.08113	5835	0	2
2024.03.01	11:00:00	1.08113	1.08176	1.08085	1.08150	5465	0	2
2024.03.01	12:00:00	1.08152	1.08224	1.07983	1.08105	6622	0	2
2024.03.01	13:00:00	1.08106	1.08191	1.08103	1.08186	4435	0	2
2024.03.01	14:00:00	1.08186	1.08248	1.08119	1.08129	3558	0	2
2024.03.01	15:00:00	1.08130	1.08153	1.08077	1.08127	4715	0	2
2024.03.01	16:00:00	1.08128	1.08206	1.07979	1.07997	5285	0	2
2024.03.01	17:00:00	1.07997	1.08416	1.07997	1.08350	9408	0	2
2024.03.01	18:00:00	1.08351	1.08369	1.08233	1.08310	3846	0	2
2024.03.01	19:00:00	1.08308	1.08397	1.08287	1.08376	3097	0	2
2024.03.01	20:00:00	1.08375	1.08424	1.08314	1.08398	3134	0	2
2024.03.01	21:00:00	1.08399	1.08431	1.08380	1.08411	2897	0	2
2024.03.01	22:00:00	1.08411	1.08411	1.08347	1.08373	2154	0	2
2024.03.01	23:00:00	1.08371	1.08400	1.08332	1.08399	1673	0	2
2024.03.04	00:00:00	1.08373	1.08423	1.08360	1.08382	1127	0	8
2024.03.04	01:00:00	1.08382	1.08440	1.08375	1.08415	1161	0	2
2024.03.04	02:00:00	1.08415	1.08479	1.08406	1.08458	2810	0	2
2024.03.04	03:00:00	1.08458	1.08458	1.08384	1.08401	1722	0	2
2024.03.04	04:00:00	1.08400	1.08458	1.08384	1.08453	1497	0	2
2024.03.04	05:00:00	1.08453	1.08457	1.08421	1.08439	1241	0	2
2024.03.04	06:00:00	1.08439	1.08456	1.08432	1.08436	1012	0	2
2024.03.04	07:00:00	1.08436	1.08468	1.08428	1.08444	1296	0	2
2024.03.04	08:00:00	1.08444	1.08479	1.08429	1.08469	1444	0	2
2024.03.04	09:00:00	1.08469	1.08540	1.08450	1.08537	3082	0	2
2024.03.04	10:00:00	1.08537	1.08579	1.08376	1.08447	4588	0	2
2024.03.04	11:00:00	1.08447	1.08521	1.08421	1.08490	3849	0	2
2024.03.04	12:00:00	1.08489	1.08549	1.08458	1.08536	2915	0	2
2024.03.04	13:00:00	1.08537	1.08569	1.08516	1.08562	2587	0	2
2024.03.04	14:00:00	1.08562	1.08576	1.08414	1.08426	3152	0	2
2024.03.04	15:00:00	1.08426	1.08501	1.08400	1.08487	4841	0	2
2024.03.04	16:00:00	1.08486	1.08616	1.08448	1.08597	5481	0	2
2024.03.04	17:00:00	1.08596	1.08636	1.08553	1.08630	5352	0	2
2024.03.04	18:00:00	1.08631	1.08668	1.08566	1.08613	4015	0	2
2024.03.04	19:00:00	1.08613	1.08622	1.08552	1.08579	2514	0	2
2024.03.04	20:00:00	1.08579	1.08606	1.08556	1.08564	1955	0	2
2024.03.04	21:00:00	1.08563	1.08584	1.08552	1.08565	2851	0	2
2024.03.04	22:00:00	1.08566	1.08595	1.08554	1.08558	2587	0	2
2024.03.04	23:00:00	1.08558	1.08573	1.08549	1.08559	784	0	2
2024.03.05	00:00:00	1.08533	1.08562	1.08513	1.08526	4376	0	6
2024.03.05	01:00:00	1.08526	1.08580	1.08526	1.08539	406	0	2
2024.03.05	02:00:00	1.08539	1.08553	1.08513	1.08529	1264	0	2
2024.03.05	03:00:00	1.08529	1.08547	1.08474	1.08494	1772	0	2
2024.03.05	04:00:00	1.08494	1.08519	1.08482	1.08500	1331	0	2
2024.03.05	05:00:00	1.08500	1.08547	1.08494	1.08543	835	0	2
2024.03.05	06:00:00	1.08543	1.08543	1.08497	1.08505	1151	0	2
2024.03.05	07:00:00	1.08506	1.08540	1.08491	1.08529	1175	0	2
2024.03.05	08:00:00	1.08530	1.08531	1.08444	1.08466	2092	0	2
2024.03.05	09:00:00	1.08466	1.08512	1.08415	1.08463	3006	0	2
2024.03.05	10:00:00	1.08463	1.08518	1.08428	1.08470	4283	0	2
2024.03.05	11:00:00	1.08471	1.08558	1.08470	1.08513	3533	0	2
2024.03.05	12:00:00	1.08513	1.08548	1.08493	1.08502	2975	0	2
2024.03.05	13:00:00	1.08500	1.08536	1.08476	1.08498	3381	0	2
2024.03.05	14:00:00	1.08498	1.08504	1.08455	1.08472	3390	0	2
2024.03.05	15:00:00	1.08472	1.08515	1.08419	1.08462	5352	0	2
2024.03.05	16:00:00	1.08463	1.08544	1.08404	1.08446	5852	0	2
2024.03.05	17:00:00	1.08452	1.08760	1.08452	1.08714	7465	0	2
2024.03.05	18:00:00	1.08714	1.08719	1.08580	1.08610	5201	0	2
2024.03.05	19:00:00	1.08610	1.08645	1.08577	1.08598	3382	0	2
2024.03.05	20:00:00	1.08599	1.08600	1.08512	1.08527	2853	0	2
2024.03.05	21:00:00	1.08526	1.08577	1.08511	1.08528	3546	0	2
2024.03.05	22:00:00	1.08527	1.08585	1.08489	1.08576	2857	0	2
2024.03.05	23:00:00	1.08575	1.08591	1.08556	1.08563	769	0	2
2024.03.06	00:00:00	1.08551	1.08575	1.08533	1.08571	1583	0	5
2024.03.06	01:00:00	1.08570	1.08586	1.08553	1.08553	670	0	2
2024.03.06	02:00:00	1.08553	1.08556	1.08490	1.08498	2794	0	2
2024.03.06	03:00:00	1.08498	1.08502	1.08419	1.08438	3170	0	2
2024.03.06	04:00:00	1.08438	1.08533	1.08438	1.08524	1821	0	2
2024.03.06	05:00:00	1.08525	1.08531	1.08503	1.08506	1610	0	2
2024.03.06	06:00:00	1.08506	1.08523	1.08494	1.08518	1278	0	2
2024.03.06	07:00:00	1.08518	1.08568	1.08516	1.08550	1404	0	2
2024.03.06	08:00:00	1.08550	1.08606	1.08547	1.08595	1673	0	2
2024.03.06	09:00:00	1.08593	1.08663	1.08585	1.08619	3571	0	2
2024.03.06	10:00:00	1.08619	1.08741	1.08591	1.08731	4028	0	2
2024.03.06	11:00:00	1.08731	1.08778	1.08694	1.08764	3092	0	2
2024.03.06	12:00:00	1.08764	1.08796	1.08734	1.08773	1991	0	2
2024.03.06	13:00:00	1.08773	1.08783	1.08715	1.08756	2156	0	2
2024.03.06	14:00:00	1.08756	1.08786	1.08673	1.08687	2641	0	2
2024.03.06	15:00:00	1.08687	1.08851	1.08683	1.08848	6926	0	2
2024.03.06	16:00:00	1.08845	1.08892	1.08829	1.08867	5719	0	2
2024.03.06	17:00:00	1.08867	1.09087	1.08812	1.09050	7385	0	2
2024.03.06	18:00:00	1.09049	1.09149	1.08994	1.09122	5829	0	2
2024.03.06	19:00:00	1.09122	1.09153	1.08993	1.09022	5819	0	2
2024.03.06	20:00:00	1.09024	1.09078	1.09004	1.09029	5080	0	2
2024.03.06	21:00:00	1.09029	1.09029	1.08931	1.08967	5052	0	2
2024.03.06	22:00:00	1.08965	1.08995	1.08928	1.08990	3747	0	2
2024.03.06	23:00:00	1.08991	1.08996	1.08953	1.08979	863	0	2
2024.03.07	00:00:00	1.08927	1.09009	1.08927	1.08980	1199	0	5
2024.03.07	01:00:00	1.08980	1.09014	1.08966	1.08994	624	0	2
2024.03.07	02:00:00	1.08994	1.09072	1.08993	1.09029	2486	0	2
2024.03.07	03:00:00	1.09030	1.09041	1.08963	1.08977	3292	0	2
2024.03.07	04:00:00	1.08977	1.08989	1.08934	1.08983	2178	0	2
2024.03.07	05:00:00	1.08983	1.09014	1.08952	1.09004	1411	0	2
2024.03.07	06:00:00	1.09004	1.09055	1.09002	1.09035	1964	0	2
2024.03.07	07:00:00	1.09035	1.09055	1.08996	1.09003	1961	0	2
2024.03.07	08:00:00	1.09001	1.09029	1.08986	1.09016	2306	0	2
2024.03.07	09:00:00	1.09017	1.09043	1.08912	1.08936	4218	0	2
2024.03.07	10:00:00	1.08936	1.08980	1.08876	1.08978	3959	0	2
2024.03.07	11:00:00	1.08978	1.09028	1.08927	1.09016	3392	0	2
2024.03.07	12:00:00	1.09016	1.09018	1.08896	1.08964	3838	0	2
2024.03.07	13:00:00	1.08964	1.08991	1.08923	1.08940	2911	0	2
2024.03.07	14:00:00	1.08940	1.09002	1.08921	1.08942	3735	0	2
2024.03.07	15:00:00	1.08942	1.08967	1.08677	1.08724	7509	0	2
2024.03.07	16:00:00	1.08722	1.09194	1.08690	1.09155	8439	0	2
2024.03.07	17:00:00	1.09155	1.09308	1.09081	1.09298	5710	0	2
2024.03.07	18:00:00	1.09298	1.09420	1.09245	1.09404	5473	0	2
2024.03.07	19:00:00	1.09402	1.09415	1.09311	1.09370	4121	0	2
2024.03.07	20:00:00	1.09369	1.09447	1.09364	1.09421	2042	0	2
2024.03.07	21:00:00	1.09420	1.09487	1.09406	1.09468	2667	0	2
2024.03.07	22:00:00	1.09467	1.09491	1.09423	1.09469	2501	0	2
2024.03.07	23:00:00	1.09468	1.09488	1.09457	1.09488	1160	0	2
2024.03.08	00:00:00	1.09445	1.09475	1.09431	1.09468	2079	0	5
2024.03.08	01:00:00	1.09465	1.09513	1.09458	1.09510	548	0	2
2024.03.08	02:00:00	1.09510	1.09556	1.09502	1.09513	1788	0	2
2024.03.08	03:00:00	1.09513	1.09527	1.09464	1.09480	2340	0	2
2024.03.08	04:00:00	1.09480	1.09507	1.09448	1.09456	1952	0	2
2024.03.08	05:00:00	1.09456	1.09479	1.09440	1.09472	1407	0	2
2024.03.08	06:00:00	1.09472	1.09491	1.09444	1.09456	1327	0	2
2024.03.08	07:00:00	1.09456	1.09484	1.09447	1.09465	1838	0	2
2024.03.08	08:00:00	1.09464	1.09490	1.09441	1.09481	1960	0	2
2024.03.08	09:00:00	1.09481	1.09511	1.09315	1.09336	5260	0	2
2024.03.08	10:00:00	1.09336	1.09390	1.09289	1.09358	4162	0	2
2024.03.08	11:00:00	1.09358	1.09373	1.09260	1.09352	5093	0	2
2024.03.08	12:00:00	1.09352	1.09370	1.09263	1.09334	5006	0	2
2024.03.08	13:00:00	1.09336	1.09389	1.09294	1.09346	3425	0	2
2024.03.08	14:00:00	1.09346	1.09350	1.09279	1.09318	3387	0	2
2024.03.08	15:00:00	1.09318	1.09811	1.09175	1.09580	8450	0	2
2024.03.08	16:00:00	1.09580	1.09664	1.09448	1.09578	8425	0	2
2024.03.08	17:00:00	1.09578	1.09618	1.09433	1.09609	6134	0	2
2024.03.08	18:00:00	1.09608	1.09612	1.09373	1.09403	6694	0	2
2024.03.08	19:00:00	1.09404	1.09457	1.09367	1.09392	6131	0	2
2024.03.08	20:00:00	1.09394	1.09401	1.09333	1.09371	4641	0	2
2024.03.08	21:00:00	1.09371	1.09421	1.09343	1.09416	2962	0	2
2024.03.08	22:00:00	1.09417	1.09438	1.09343	1.09362	2691	0	2
2024.03.08	23:00:00	1.09362	1.09393	1.09352	1.09391	1380	0	2
2024.03.11	00:00:00	1.09397	1.09401	1.09355	1.09380	533	0	5
2024.03.11	01:00:00	1.09380	1.09403	1.09358	1.09376	617	0	2
2024.03.11	02:00:00	1.09376	1.09437	1.09375	1.09426	2554	0	2
2024.03.11	03:00:00	1.09425	1.09464	1.09382	1.09422	2925	0	2
2024.03.11	04:00:00	1.09422	1.09456	1.09389	1.09405	2287	0	2
2024.03.11	05:00:00	1.09405	1.09419	1.09371	1.09389	2448	0	2
2024.03.11	06:00:00	1.09389	1.09444	1.09379	1.09412	1936	0	2
2024.03.11	07:00:00	1.09412	1.09417	1.09369	1.09386	1959	0	2
2024.03.11	08:00:00	1.09386	1.09421	1.09386	1.09412	1722	0	2
2024.03.11	09:00:00	1.09412	1.09436	1.09353	1.09421	2034	0	2
2024.03.11	10:00:00	1.09421	1.09474	1.09370	1.09419	3341	0	2
2024.03.11	11:00:00	1.09419	1.09479	1.09384	1.09445	4693	0	2
2024.03.11	12:00:00	1.09445	1.09449	1.09338	1.09344	3180	0	2
2024.03.11	13:00:00	1.09346	1.09435	1.09329	1.09416	2679	0	2
2024.03.11	14:00:00	1.09416	1.09434	1.09376	1.09429	2305	0	2
2024.03.11	15:00:00	1.09428	1.09434	1.09292	1.09295	4282	0	2
2024.03.11	16:00:00	1.09294	1.09316	1.09177	1.09196	4401	0	2
2024.03.11	17:00:00	1.09196	1.09249	1.09156	1.09245	4398	0	2
2024.03.11	18:00:00	1.09244	1.09287	1.09144	1.09271	5154	0	2
2024.03.11	19:00:00	1.09272	1.09280	1.09228	1.09272	4179	0	2
2024.03.11	20:00:00	1.09273	1.09303	1.09244	1.09253	4472	0	2
2024.03.11	21:00:00	1.09253	1.09262	1.09183	1.09241	3869	0	2
2024.03.11	22:00:00	1.09241	1.09264	1.09218	1.09262	2511	0	2
2024.03.11	23:00:00	1.09261	1.09274	1.09255	1.09265	753	0	2
2024.03.12	00:00:00	1.09227	1.09271	1.09197	1.09257	3564	0	5
2024.03.12	01:00:00	1.09257	1.09272	1.09244	1.09251	548	0	2
2024.03.12	02:00:00	1.09251	1.09311	1.09251	1.09306	660	0	2
2024.03.12	03:00:00	1.09306	1.09322	1.09283	1.09286	1799	0	2
2024.03.12	04:00:00	1.09286	1.09343	1.09268	1.09335	1666	0	2
2024.03.12	05:00:00	1.09335	1.09364	1.09301	1.09362	2235	0	2
2024.03.12	06:00:00	1.09362	1.09380	1.09340	1.09362	1343	0	2
2024.03.12	07:00:00	1.09362	1.09381	1.09345	1.09369	1037	0	2
2024.03.12	08:00:00	1.09369	1.09392	1.09366	1.09382	1126	0	2
2024.03.12	09:00:00	1.09383	1.09390	1.09342	1.09379	1355	0	2
2024.03.12	10:00:00	1.09378	1.09393	1.09315	1.09319	3484	0	2
2024.03.12	11:00:00	1.09317	1.09334	1.09211	1.09248	3918	0	2
2024.03.12	12:00:00	1.09248	1.09333	1.09231	1.09302	2921	0	2
2024.03.12	13:00:00	1.09302	1.09344	1.09265	1.09339	4168	0	2
2024.03.12	14:00:00	1.09339	1.09355	1.09318	1.09335	4003	0	2
2024.03.12	15:00:00	1.09335	1.09437	1.09023	1.09200	9024	0	2
2024.03.12	16:00:00	1.09201	1.09229	1.09021	1.09107	9571	0	2
2024.03.12	17:00:00	1.09109	1.09196	1.09063	1.09170	6695	0	2
2024.03.12	18:00:00	1.09171	1.09185	1.09074	1.09177	4459	0	2
2024.03.12	19:00:00	1.09176	1.09191	1.09135	1.09175	3880	0	2
2024.03.12	20:00:00	1.09175	1.09208	1.09126	1.09193	4310	0	2
2024.03.12	21:00:00	1.09192	1.09246	1.09183	1.09241	3458	0	2
2024.03.12	22:00:00	1.09240	1.09259	1.09210	1.09257	2909	0	2
2024.03.12	23:00:00	1.09257	1.09274	1.09249	1.09268	1130	0	2
2024.03.13	00:00:00	1.09246	1.09270	1.09244	1.09264	2697	0	5
2024.03.13	01:00:00	1.09264	1.09287	1.09261	1.09275	1063	0	2
2024.03.13	02:00:00	1.09275	1.09290	1.09264	1.09267	1895	0	2
2024.03.13	03:00:00	1.09266	1.09296	1.09257	1.09269	3477	0	2
2024.03.13	04:00:00	1.09268	1.09289	1.09233	1.09238	2768	0	2
2024.03.13	05:00:00	1.09237	1.09275	1.09232	1.09269	2823	0	2
2024.03.13	06:00:00	1.09269	1.09307	1.09250	1.09277	1953	0	2
2024.03.13	07:00:00	1.09278	1.09281	1.09220	1.09234	2446	0	2
2024.03.13	08:00:00	1.09234	1.09290	1.09227	1.09287	1911	0	2
2024.03.13	09:00:00	1.09287	1.09293	1.09251	1.09278	2711	0	2
2024.03.13	10:00:00	1.09279	1.09318	1.09208	1.09267	3093	0	2
2024.03.13	11:00:00	1.09267	1.09328	1.09260	1.09277	4151	0	2
2024.03.13	12:00:00	1.09277	1.09280	1.09200	1.09233	4787	0	2
2024.03.13	13:00:00	1.09233	1.09333	1.09221	1.09305	3098	0	2
2024.03.13	14:00:00	1.09305	1.09454	1.09300	1.09421	2915	0	2
2024.03.13	15:00:00	1.09422	1.09472	1.09336	1.09366	4625	0	2
2024.03.13	16:00:00	1.09367	1.09420	1.09359	1.09371	4502	0	2
2024.03.13	17:00:00	1.09373	1.09444	1.09314	1.09419	4304	0	2
2024.03.13	18:00:00	1.09419	1.09472	1.09379	1.09434	4090	0	2
2024.03.13	19:00:00	1.09432	1.09494	1.09400	1.09490	3991	0	2
2024.03.13	20:00:00	1.09490	1.09636	1.09486	1.09570	3974	0	2
2024.03.13	21:00:00	1.09570	1.09583	1.09500	1.09508	2787	0	2
2024.03.13	22:00:00	1.09509	1.09517	1.09455	1.09472	2681	0	2
2024.03.13	23:00:00	1.09472	1.09492	1.09470	1.09477	818	0	2
2024.03.14	00:00:00	1.09502	1.09512	1.09454	1.09487	1844	0	5
2024.03.14	01:00:00	1.09487	1.09516	1.09487	1.09488	807	0	2
2024.03.14	02:00:00	1.09488	1.09532	1.09488	1.09532	771	0	2
2024.03.14	03:00:00	1.09532	1.09547	1.09458	1.09487	1960	0	2
2024.03.14	04:00:00	1.09488	1.09528	1.09450	1.09489	1699	0	2
2024.03.14	05:00:00	1.09489	1.09497	1.09429	1.09437	1063	0	2
2024.03.14	06:00:00	1.09438	1.09452	1.09412	1.09422	1636	0	2
2024.03.14	07:00:00	1.09423	1.09428	1.09389	1.09425	1358	0	2
2024.03.14	08:00:00	1.09424	1.09431	1.09390	1.09394	1183	0	2
2024.03.14	09:00:00	1.09394	1.09419	1.09370	1.09378	1747	0	2
2024.03.14	10:00:00	1.09376	1.09428	1.09316	1.09352	3522	0	2
2024.03.14	11:00:00	1.09353	1.09441	1.09352	1.09376	4487	0	2
2024.03.14	12:00:00	1.09376	1.09444	1.09368	1.09414	2959	0	2
2024.03.14	13:00:00	1.09413	1.09453	1.09377	1.09396	2496	0	2
2024.03.14	14:00:00	1.09396	1.09436	1.09376	1.09415	2267	0	2
2024.03.14	15:00:00	1.09415	1.09447	1.09240	1.09299	7056	0	2
2024.03.14	16:00:00	1.09300	1.09312	1.09088	1.09119	7771	0	2
2024.03.14	17:00:00	1.09119	1.09142	1.08958	1.08978	7108	0	2
2024.03.14	18:00:00	1.08978	1.08995	1.08829	1.08876	5633	0	2
2024.03.14	19:00:00	1.08876	1.08926	1.08846	1.08871	5093	0	2
2024.03.14	20:00:00	1.08870	1.08890	1.08809	1.08864	3203	0	2
2024.03.14	21:00:00	1.08864	1.08898	1.08837	1.08849	3077	0	2
2024.03.14	22:00:00	1.08850	1.08911	1.08805	1.08910	3060	0	2
2024.03.14	23:00:00	1.08911	1.08919	1.08837	1.08839	1271	0	2
2024.03.15	00:00:00	1.08836	1.08855	1.08819	1.08854	2048	0	5
2024.03.15	01:00:00	1.08854	1.08861	1.08831	1.08840	445	0	2
2024.03.15	02:00:00	1.08840	1.08852	1.08824	1.08827	1133	0	2
2024.03.15	03:00:00	1.08826	1.08844	1.08760	1.08777	2299	0	2
2024.03.15	04:00:00	1.08777	1.08802	1.08754	1.08770	1882	0	2
2024.03.15	05:00:00	1.08771	1.08771	1.08728	1.08732	2119	0	2
2024.03.15	06:00:00	1.08733	1.08781	1.08732	1.08769	1578	0	2
2024.03.15	07:00:00	1.08768	1.08774	1.08747	1.08764	1968	0	2
2024.03.15	08:00:00	1.08765	1.08773	1.08732	1.08768	1362	0	2
2024.03.15	09:00:00	1.08769	1.08806	1.08754	1.08797	2193	0	2
2024.03.15	10:00:00	1.08798	1.08849	1.08786	1.08808	2452	0	2
2024.03.15	11:00:00	1.08808	1.08869	1.08779	1.08828	4337	0	2
2024.03.15	12:00:00	1.08828	1.08995	1.08826	1.08981	2950	0	2
2024.03.15	13:00:00	1.08982	1.08997	1.08891	1.08911	3179	0	2
2024.03.15	14:00:00	1.08911	1.08963	1.08869	1.08935	2615	0	2
2024.03.15	15:00:00	1.08935	1.08944	1.08843	1.08872	5325	0	2
2024.03.15	16:00:00	1.08872	1.08949	1.08831	1.08860	5743	0	2
2024.03.15	17:00:00	1.08859	1.08944	1.08843	1.08879	5815	0	2
2024.03.15	18:00:00	1.08880	1.08890	1.08813	1.08875	4039	0	2
2024.03.15	19:00:00	1.08875	1.08899	1.08835	1.08858	3734	0	2
2024.03.15	20:00:00	1.08858	1.08878	1.08833	1.08837	3953	0	2
2024.03.15	21:00:00	1.08838	1.08911	1.08836	1.08902	2829	0	2
