<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	1.26159	1.26256	1.26143	1.26224	2280	0	11
2024.03.01	01:00:00	1.26224	1.26265	1.26212	1.26264	732	0	2
2024.03.01	02:00:00	1.26264	1.26283	1.26229	1.26263	1315	0	2
2024.03.01	03:00:00	1.26264	1.26345	1.26243	1.26342	1866	0	2
2024.03.01	04:00:00	1.26342	1.26356	1.26288	1.26321	1470	0	2
2024.03.01	05:00:00	1.26321	1.26345	1.26308	1.26323	1152	0	2
2024.03.01	06:00:00	1.26324	1.26334	1.26272	1.26281	895	0	2
2024.03.01	07:00:00	1.26281	1.26304	1.26243	1.26260	1723	0	2
2024.03.01	08:00:00	1.26261	1.26299	1.26258	1.26282	1249	0	2
2024.03.01	09:00:00	1.26282	1.26365	1.26266	1.26314	2464	0	2
2024.03.01	10:00:00	1.26314	1.26414	1.26279	1.26306	4013	0	2
2024.03.01	11:00:00	1.26306	1.26366	1.26249	1.26301	3508	0	2
2024.03.01	12:00:00	1.26303	1.26338	1.26173	1.26296	4277	0	2
2024.03.01	13:00:00	1.26297	1.26464	1.26292	1.26428	3388	0	2
2024.03.01	14:00:00	1.26428	1.26470	1.26269	1.26290	2950	0	2
2024.03.01	15:00:00	1.26296	1.26367	1.26234	1.26305	5821	0	2
2024.03.01	16:00:00	1.26305	1.26370	1.25996	1.26005	4964	0	2
2024.03.01	17:00:00	1.26005	1.26563	1.25999	1.26526	9070	0	2
2024.03.01	18:00:00	1.26523	1.26547	1.26353	1.26502	4794	0	2
2024.03.01	19:00:00	1.26502	1.26595	1.26473	1.26561	2965	0	2
2024.03.01	20:00:00	1.26561	1.26611	1.26487	1.26576	3175	0	2
2024.03.01	21:00:00	1.26576	1.26638	1.26573	1.26623	2323	0	2
2024.03.01	22:00:00	1.26623	1.26625	1.26538	1.26559	1657	0	2
2024.03.01	23:00:00	1.26560	1.26568	1.26528	1.26551	1678	0	2
2024.03.04	00:00:00	1.26497	1.26571	1.26449	1.26506	675	0	13
2024.03.04	01:00:00	1.26506	1.26620	1.26500	1.26599	1360	0	2
2024.03.04	02:00:00	1.26599	1.26666	1.26589	1.26654	1635	0	2
2024.03.04	03:00:00	1.26654	1.26655	1.26560	1.26597	1927	0	2
2024.03.04	04:00:00	1.26596	1.26659	1.26559	1.26656	1286	0	2
2024.03.04	05:00:00	1.26656	1.26663	1.26620	1.26647	1053	0	2
2024.03.04	06:00:00	1.26647	1.26668	1.26621	1.26635	1106	0	2
2024.03.04	07:00:00	1.26634	1.26666	1.26611	1.26624	1176	0	2
2024.03.04	08:00:00	1.26624	1.26672	1.26609	1.26662	1623	0	2
2024.03.04	09:00:00	1.26662	1.26785	1.26630	1.26784	3068	0	2
2024.03.04	10:00:00	1.26784	1.26799	1.26655	1.26695	4466	0	2
2024.03.04	11:00:00	1.26695	1.26800	1.26662	1.26777	3709	0	2
2024.03.04	12:00:00	1.26778	1.26796	1.26729	1.26750	3328	0	2
2024.03.04	13:00:00	1.26750	1.26792	1.26711	1.26774	2745	0	2
2024.03.04	14:00:00	1.26774	1.26837	1.26720	1.26747	2888	0	2
2024.03.04	15:00:00	1.26748	1.26783	1.26658	1.26777	3355	0	2
2024.03.04	16:00:00	1.26777	1.26930	1.26727	1.26923	4576	0	2
2024.03.04	17:00:00	1.26924	1.27002	1.26867	1.26979	4224	0	2
2024.03.04	18:00:00	1.26979	1.27063	1.26918	1.26986	3485	0	2
2024.03.04	19:00:00	1.26985	1.27016	1.26909	1.26962	2664	0	2
2024.03.04	20:00:00	1.26963	1.26979	1.26912	1.26916	2202	0	2
