<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	01:00:00	17744.30	17746.40	17711.90	17727.00	1400	0	770
2024.03.01	02:00:00	17727.00	17762.70	17725.60	17760.90	698	0	460
2024.03.01	03:00:00	17760.40	17784.80	17751.10	17783.20	699	0	460
2024.03.01	04:00:00	17782.70	17786.00	17777.90	17783.00	395	0	460
2024.03.01	05:00:00	17783.50	17787.50	17780.50	17785.50	478	0	460
2024.03.01	06:00:00	17787.00	17787.90	17777.00	17781.00	376	0	460
2024.03.01	07:00:00	17781.00	17788.00	17774.80	17779.90	356	0	460
2024.03.01	08:00:00	17778.90	17789.90	17777.90	17782.00	349	0	460
2024.03.01	09:00:00	17782.00	17807.40	17774.00	17797.40	1054	0	80
2024.03.01	10:00:00	17797.40	17817.10	17733.85	17750.15	3750	0	80
2024.03.01	11:00:00	17750.10	17794.65	17741.65	17781.65	2557	0	80
2024.03.01	12:00:00	17783.15	17783.15	17710.75	17729.35	3245	0	80
2024.03.01	13:00:00	17729.85	17791.05	17729.30	17786.50	1781	0	80
2024.03.01	14:00:00	17786.50	17789.00	17746.05	17768.75	1678	0	80
2024.03.01	15:00:00	17768.70	17773.75	17746.70	17748.20	2424	0	80
2024.03.01	16:00:00	17747.70	17764.20	17688.75	17698.25	4173	0	80
2024.03.01	17:00:00	17712.70	17760.75	17694.25	17755.25	4335	0	80
2024.03.01	18:00:00	17755.70	17755.70	17728.70	17735.20	2275	0	80
2024.03.01	19:00:00	17735.70	17746.20	17724.75	17732.20	1457	0	80
2024.03.01	20:00:00	17732.20	17748.20	17725.70	17743.70	1426	0	80
2024.03.01	21:00:00	17744.20	17750.70	17735.70	17745.70	1126	0	80
2024.03.01	22:00:00	17744.70	17749.70	17738.75	17747.20	1358	0	80
2024.03.04	01:00:00	17743.20	17751.60	17734.70	17737.60	974	0	740
2024.03.04	02:00:00	17737.60	17761.20	17735.40	17756.20	921	0	460
2024.03.04	03:00:00	17756.20	17764.60	17753.60	17756.00	601	0	460
2024.03.04	04:00:00	17755.50	17769.20	17750.40	17766.70	499	0	460
2024.03.04	05:00:00	17766.20	17766.70	17755.70	17758.70	442	0	460
2024.03.04	06:00:00	17759.20	17764.20	17756.70	17759.20	367	0	460
2024.03.04	07:00:00	17758.70	17760.70	17750.70	17754.70	251	0	460
2024.03.04	08:00:00	17754.20	17764.00	17745.10	17753.70	368	0	460
2024.03.04	09:00:00	17754.70	17756.10	17725.85	17737.80	762	0	80
2024.03.04	10:00:00	17738.30	17746.90	17712.75	17730.45	2859	0	80
2024.03.04	11:00:00	17730.45	17756.95	17730.45	17737.95	1694	0	80
2024.03.04	12:00:00	17737.90	17749.40	17723.95	17727.95	1625	0	80
2024.03.04	13:00:00	17727.45	17727.45	17700.95	17720.90	1601	0	80
