<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	01:00:00	18044.40	18046.60	18003.70	18019.00	3253	0	140
2024.03.01	02:00:00	18019.00	18042.10	18018.50	18041.90	3059	0	140
2024.03.01	03:00:00	18041.90	18080.50	18032.10	18077.30	4446	0	140
2024.03.01	04:00:00	18077.00	18088.20	18070.80	18085.80	3332	0	140
2024.03.01	05:00:00	18085.80	18090.80	18083.00	18089.20	2535	0	140
2024.03.01	06:00:00	18089.40	18092.20	18077.20	18079.20	1742	0	140
2024.03.01	07:00:00	18079.20	18090.30	18076.30	18088.10	2381	0	140
2024.03.01	08:00:00	18088.30	18103.10	18087.60	18101.00	2632	0	140
2024.03.01	09:00:00	18101.00	18123.00	18094.80	18115.20	3944	0	140
2024.03.01	10:00:00	18115.00	18116.50	18076.90	18084.40	6036	0	160
2024.03.01	11:00:00	18084.20	18106.20	18078.60	18088.70	5509	0	150
2024.03.01	12:00:00	18088.80	18088.80	17991.40	18024.90	8590	0	160
2024.03.01	13:00:00	18025.40	18054.90	18019.40	18052.70	5322	0	170
2024.03.01	14:00:00	18052.80	18063.90	18034.80	18054.10	5386	0	160
2024.03.01	15:00:00	18053.90	18071.00	18031.60	18050.80	7232	0	170
2024.03.01	16:00:00	18050.20	18105.70	18042.30	18095.00	11859	0	60
2024.03.01	17:00:00	18111.60	18165.50	18083.60	18153.60	15888	0	60
2024.03.01	18:00:00	18154.00	18211.60	18150.50	18202.10	13771	0	60
2024.03.01	19:00:00	18202.30	18254.20	18184.60	18248.40	12346	0	60
2024.03.01	20:00:00	18248.80	18310.60	18243.50	18307.30	11806	0	60
2024.03.01	21:00:00	18307.20	18335.00	18295.30	18329.00	12386	0	60
2024.03.01	22:00:00	18328.90	18329.40	18284.50	18296.70	12782	0	60
2024.03.01	23:00:00	18297.60	18297.60	18277.00	18280.10	3703	0	90
2024.03.04	01:00:00	18309.20	18329.30	18291.40	18307.30	4258	0	140
2024.03.04	02:00:00	18307.30	18310.20	18290.40	18304.50	4202	0	140
2024.03.04	03:00:00	18304.50	18314.00	18300.00	18310.70	4174	0	140
2024.03.04	04:00:00	18310.80	18325.40	18306.70	18320.50	3049	0	140
2024.03.04	05:00:00	18320.50	18321.60	18312.30	18316.80	1899	0	140
2024.03.04	06:00:00	18316.80	18318.80	18308.30	18312.80	1427	0	140
2024.03.04	07:00:00	18313.00	18318.50	18309.90	18311.50	1943	0	140
2024.03.04	08:00:00	18311.30	18320.90	18307.30	18315.10	2252	0	140
2024.03.04	09:00:00	18315.50	18324.10	18312.00	18323.20	3118	0	140
2024.03.04	10:00:00	18323.70	18334.70	18316.60	18327.60	5078	0	150
2024.03.04	11:00:00	18326.70	18340.40	18294.40	18295.60	5633	0	140
2024.03.04	12:00:00	18295.90	18298.40	18282.10	18292.40	4644	0	150
2024.03.04	13:00:00	18292.40	18299.90	18274.10	18298.20	4945	0	150
2024.03.04	14:00:00	18298.30	18315.80	18292.40	18296.90	4522	0	150
2024.03.04	15:00:00	18296.80	18314.10	18290.30	18298.30	5069	0	150
2024.03.04	16:00:00	18298.50	18299.60	18251.70	18259.90	11925	0	60
2024.03.04	17:00:00	18260.00	18299.90	18245.00	18288.80	15467	0	70
2024.03.04	18:00:00	18288.80	18293.60	18248.90	18283.40	14381	0	60
2024.03.04	19:00:00	18283.80	18293.50	18259.90	18269.40	12536	0	60
2024.03.04	20:00:00	18269.10	18278.00	18236.70	18267.90	11582	0	60
2024.03.04	21:00:00	18267.90	18310.60	18255.30	18297.10	11831	0	60
2024.03.04	22:00:00	18297.50	18312.10	18221.10	18226.00	13545	0	60
2024.03.04	23:00:00	18226.20	18227.70	18202.80	18205.30	3291	0	90
2024.03.05	01:00:00	18218.80	18219.10	18186.90	18190.10	2988	0	140
2024.03.05	02:00:00	18189.90	18205.00	18179.90	18190.70	3147	0	140
2024.03.05	03:00:00	18190.70	18195.60	18158.70	18171.10	4574	0	140
2024.03.05	04:00:00	18171.10	18175.30	18152.20	18160.40	3557	0	140
2024.03.05	05:00:00	18160.60	18179.90	18160.10	18178.40	2561	0	140
2024.03.05	06:00:00	18178.40	18184.20	18172.10	18175.20	1668	0	140
2024.03.05	07:00:00	18175.20	18175.70	18150.50	18157.60	2861	0	140
2024.03.05	08:00:00	18157.80	18163.00	18134.50	18147.60	3951	0	140
2024.03.05	09:00:00	18147.70	18154.50	18122.40	18141.00	4346	0	150
2024.03.05	10:00:00	18141.20	18157.20	18103.00	18112.80	6279	0	170
2024.03.05	11:00:00	18115.10	18123.00	18091.10	18095.00	6740	0	180
2024.03.05	12:00:00	18095.50	18105.20	18074.00	18101.20	5101	0	160
2024.03.05	13:00:00	18101.10	18128.90	18101.00	18126.30	4488	0	150
2024.03.05	14:00:00	18126.80	18151.20	18109.20	18118.00	6026	0	180
2024.03.05	15:00:00	18117.90	18144.40	18099.70	18101.20	7024	0	200
2024.03.05	16:00:00	18101.40	18113.50	17993.60	18008.60	12776	0	60
2024.03.05	17:00:00	18009.80	18054.10	17880.80	17910.20	16689	0	70
