<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	149.995	150.018	149.926	149.973	992	0	6
2024.03.01	01:00:00	149.973	150.179	149.942	150.069	2855	0	2
2024.03.01	02:00:00	150.069	150.291	150.059	150.216	5311	0	2
2024.03.01	03:00:00	150.216	150.370	150.216	150.355	5851	0	2
2024.03.01	04:00:00	150.354	150.414	150.316	150.353	5031	0	2
2024.03.01	05:00:00	150.353	150.366	150.299	150.324	4706	0	2
2024.03.01	06:00:00	150.324	150.399	150.324	150.384	4650	0	2
2024.03.01	07:00:00	150.383	150.479	150.371	150.446	3979	0	2
2024.03.01	08:00:00	150.445	150.462	150.325	150.348	5052	0	2
2024.03.01	09:00:00	150.348	150.499	150.346	150.496	4238	0	2
2024.03.01	10:00:00	150.497	150.687	150.488	150.649	5892	0	2
2024.03.01	11:00:00	150.652	150.661	150.448	150.624	4787	0	2
2024.03.01	12:00:00	150.623	150.647	150.305	150.358	6042	0	2
2024.03.01	13:00:00	150.359	150.483	150.320	150.389	4759	0	2
2024.03.01	14:00:00	150.388	150.569	150.367	150.558	5040	0	2
2024.03.01	15:00:00	150.560	150.656	150.480	150.642	8064	0	2
2024.03.01	16:00:00	150.642	150.720	150.557	150.669	8224	0	2
2024.03.01	17:00:00	150.357	150.502	150.085	150.121	10961	0	2
2024.03.01	18:00:00	150.121	150.267	150.073	150.203	8828	0	2
2024.03.01	19:00:00	150.203	150.225	150.098	150.150	5001	0	2
2024.03.01	20:00:00	150.150	150.242	150.068	150.127	5806	0	2
2024.03.01	21:00:00	150.128	150.128	150.052	150.117	5593	0	2
2024.03.01	22:00:00	150.114	150.161	150.097	150.149	2877	0	2
2024.03.01	23:00:00	150.148	150.156	150.102	150.123	1291	0	2
2024.03.04	00:00:00	150.034	150.115	150.029	150.115	449	0	6
2024.03.04	01:00:00	150.115	150.156	150.051	150.129	2038	0	2
2024.03.04	02:00:00	150.129	150.143	149.838	149.982	4654	0	2
2024.03.04	03:00:00	149.981	150.207	149.974	150.128	4446	0	2
2024.03.04	04:00:00	150.128	150.189	150.098	150.173	3126	0	2
2024.03.04	05:00:00	150.172	150.194	150.110	150.163	2816	0	2
2024.03.04	06:00:00	150.162	150.266	150.142	150.255	1899	0	2
2024.03.04	07:00:00	150.256	150.321	150.224	150.300	2406	0	2
2024.03.04	08:00:00	150.300	150.387	150.266	150.359	2706	0	2
2024.03.04	09:00:00	150.359	150.400	150.297	150.310	5674	0	2
2024.03.04	10:00:00	150.309	150.381	150.171	150.376	6064	0	2
2024.03.04	11:00:00	150.375	150.396	150.188	150.246	4896	0	2
2024.03.04	12:00:00	150.246	150.465	150.246	150.418	6751	0	2
2024.03.04	13:00:00	150.417	150.463	150.386	150.422	5461	0	2
2024.03.04	14:00:00	150.422	150.446	150.341	150.443	4276	0	2
2024.03.04	15:00:00	150.443	150.567	150.433	150.459	5678	0	2
2024.03.04	16:00:00	150.459	150.551	150.312	150.332	5948	0	2
2024.03.04	17:00:00	150.335	150.500	150.329	150.484	5533	0	2
2024.03.04	18:00:00	150.484	150.524	150.432	150.450	6006	0	2
2024.03.04	19:00:00	150.449	150.543	150.431	150.524	5271	0	2
2024.03.04	20:00:00	150.524	150.559	150.485	150.555	2708	0	2
2024.03.04	21:00:00	150.555	150.564	150.493	150.550	3167	0	2
2024.03.04	22:00:00	150.548	150.559	150.482	150.522	3096	0	2
2024.03.04	23:00:00	150.515	150.535	150.495	150.516	941	0	2
2024.03.05	00:00:00	150.511	150.531	150.412	150.437	1028	0	9
2024.03.05	01:00:00	150.437	150.542	150.380	150.452	1971	0	2
2024.03.05	02:00:00	150.452	150.486	150.350	150.399	4119	0	2
2024.03.05	03:00:00	150.401	150.485	150.381	150.465	4611	0	2
2024.03.05	04:00:00	150.464	150.540	150.450	150.495	3774	0	2
2024.03.05	05:00:00	150.496	150.509	150.440	150.499	3270	0	2
2024.03.05	06:00:00	150.498	150.536	150.481	150.533	3956	0	2
2024.03.05	07:00:00	150.533	150.546	150.459	150.496	3907	0	2
2024.03.05	08:00:00	150.496	150.545	150.459	150.480	4231	0	2
2024.03.05	09:00:00	150.480	150.504	150.347	150.418	4470	0	2
2024.03.05	10:00:00	150.419	150.486	150.343	150.447	4501	0	2
2024.03.05	11:00:00	150.447	150.462	150.370	150.413	4715	0	2
2024.03.05	12:00:00	150.411	150.429	150.388	150.407	2624	0	2
2024.03.05	13:00:00	150.407	150.438	150.363	150.414	2916	0	2
2024.03.05	14:00:00	150.415	150.439	150.373	150.395	3191	0	2
2024.03.05	15:00:00	150.396	150.396	150.061	150.087	8957	0	2
2024.03.05	16:00:00	150.087	150.181	149.999	150.120	7421	0	2
2024.03.05	17:00:00	150.120	150.120	149.702	149.982	10512	0	2
2024.03.05	18:00:00	149.982	150.225	149.963	150.146	8453	0	2
2024.03.05	19:00:00	150.146	150.171	150.052	150.093	5746	0	2
2024.03.05	20:00:00	150.094	150.112	149.974	149.978	4524	0	2
2024.03.05	21:00:00	149.977	150.051	149.925	149.936	5410	0	2
2024.03.05	22:00:00	149.936	149.954	149.838	149.918	5299	0	2
2024.03.05	23:00:00	149.918	150.060	149.907	150.057	1375	0	2
2024.03.06	00:00:00	150.023	150.061	150.000	150.000	614	0	6
2024.03.06	01:00:00	150.000	150.052	149.813	150.052	2408	0	2
2024.03.06	02:00:00	150.053	150.084	149.896	149.993	3617	0	2
2024.03.06	03:00:00	149.993	150.043	149.956	150.031	3759	0	2
2024.03.06	04:00:00	150.030	150.031	149.892	149.905	2250	0	2
2024.03.06	05:00:00	149.906	149.995	149.905	149.978	3238	0	2
2024.03.06	06:00:00	149.978	150.021	149.932	149.938	2497	0	2
2024.03.06	07:00:00	149.938	149.941	149.805	149.911	1954	0	2
2024.03.06	08:00:00	149.913	149.936	149.824	149.843	3409	0	2
2024.03.06	09:00:00	149.843	149.844	149.324	149.533	7052	0	2
2024.03.06	10:00:00	149.534	149.805	149.529	149.750	6346	0	2
2024.03.06	11:00:00	149.750	149.863	149.620	149.645	4998	0	2
2024.03.06	12:00:00	149.646	149.809	149.568	149.742	4412	0	2
2024.03.06	13:00:00	149.744	149.800	149.684	149.711	3865	0	2
2024.03.06	14:00:00	149.711	149.744	149.556	149.633	5054	0	2
2024.03.06	15:00:00	149.633	149.698	149.332	149.366	9081	0	2
2024.03.06	16:00:00	149.367	149.444	149.269	149.378	6911	0	2
2024.03.06	17:00:00	149.372	149.644	149.260	149.368	9256	0	2
2024.03.06	18:00:00	149.368	149.447	149.129	149.173	6871	0	2
2024.03.06	19:00:00	149.173	149.355	149.091	149.323	6796	0	2
2024.03.06	20:00:00	149.322	149.328	149.199	149.263	4280	0	2
2024.03.06	21:00:00	149.265	149.384	149.254	149.344	4960	0	2
2024.03.06	22:00:00	149.345	149.470	149.344	149.352	3731	0	2
2024.03.06	23:00:00	149.357	149.448	149.355	149.414	1454	0	2
2024.03.07	00:00:00	149.342	149.365	149.266	149.334	941	0	6
2024.03.07	01:00:00	149.334	149.334	149.194	149.260	2378	0	2
2024.03.07	02:00:00	149.260	149.260	148.881	148.895	7265	0	2
2024.03.07	03:00:00	148.895	148.972	148.558	148.615	8839	0	3
2024.03.07	04:00:00	148.607	148.793	148.600	148.753	5476	0	2
2024.03.07	05:00:00	148.753	148.770	148.603	148.665	6803	0	2
2024.03.07	06:00:00	148.665	148.671	148.400	148.549	6936	0	2
2024.03.07	07:00:00	148.549	148.676	148.508	148.635	5208	0	2
2024.03.07	08:00:00	148.637	148.677	148.117	148.196	5624	0	2
2024.03.07	09:00:00	148.196	148.254	147.936	147.940	7141	0	2
2024.03.07	10:00:00	147.939	148.101	147.810	147.928	7888	0	2
2024.03.07	11:00:00	147.929	148.109	147.831	147.985	4521	0	2
2024.03.07	12:00:00	147.985	147.993	147.864	147.870	5051	0	2
