<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	01:00:00	2043.36	2044.31	2043.08	2044.28	1122	0	12
2024.03.01	02:00:00	2044.26	2044.31	2042.82	2043.72	1933	0	12
2024.03.01	03:00:00	2043.74	2044.72	2042.98	2044.35	2771	0	12
2024.03.01	04:00:00	2044.35	2045.87	2044.06	2045.43	1775	0	12
2024.03.01	05:00:00	2045.43	2046.79	2045.28	2046.56	1793	0	12
2024.03.01	06:00:00	2046.52	2046.57	2045.20	2045.51	883	0	12
2024.03.01	07:00:00	2045.51	2045.69	2043.37	2045.06	1751	0	12
2024.03.01	08:00:00	2045.06	2048.07	2044.82	2046.77	1974	0	12
2024.03.01	09:00:00	2046.77	2048.82	2045.25	2045.41	4051	0	7
2024.03.01	10:00:00	2045.40	2045.66	2039.01	2039.78	6134	0	7
2024.03.01	11:00:00	2039.77	2047.48	2039.39	2046.40	6621	0	7
2024.03.01	12:00:00	2046.42	2055.07	2045.90	2054.84	7440	0	7
2024.03.01	13:00:00	2054.84	2057.44	2053.87	2055.38	5892	0	6
2024.03.01	14:00:00	2055.38	2057.03	2052.21	2052.39	5579	0	7
2024.03.01	15:00:00	2052.41	2054.46	2050.07	2051.65	9514	0	7
2024.03.01	16:00:00	2051.62	2056.65	2045.58	2046.44	10416	0	7
2024.03.01	17:00:00	2046.45	2070.98	2046.45	2069.27	13717	0	7
2024.03.01	18:00:00	2069.27	2081.93	2069.26	2081.12	10909	0	7
2024.03.01	19:00:00	2081.13	2085.66	2079.95	2084.81	9738	0	7
2024.03.01	20:00:00	2084.83	2088.29	2082.23	2085.66	8464	0	7
2024.03.01	21:00:00	2085.66	2086.68	2084.75	2085.23	5596	0	7
2024.03.01	22:00:00	2085.23	2085.33	2083.07	2083.51	4592	0	7
2024.03.01	23:00:00	2083.48	2083.94	2082.87	2083.54	1090	0	7
2024.03.04	01:00:00	2082.87	2086.21	2082.64	2083.52	2480	0	12
2024.03.04	02:00:00	2083.52	2084.35	2082.23	2082.58	2883	0	12
2024.03.04	03:00:00	2082.64	2082.89	2079.44	2080.18	4455	0	12
2024.03.04	04:00:00	2080.16	2083.45	2079.81	2081.54	3303	0	12
2024.03.04	05:00:00	2081.54	2081.91	2080.32	2081.44	1679	0	12
2024.03.04	06:00:00	2081.44	2081.55	2080.25	2080.77	1221	0	12
2024.03.04	07:00:00	2080.73	2082.28	2080.46	2081.53	1587	0	12
2024.03.04	08:00:00	2081.53	2083.83	2081.04	2083.50	2461	0	12
2024.03.04	09:00:00	2083.50	2088.23	2083.50	2087.42	4133	0	7
2024.03.04	10:00:00	2087.42	2087.54	2083.50	2083.86	5886	0	7
2024.03.04	11:00:00	2083.86	2086.12	2083.21	2085.14	5079	0	7
2024.03.04	12:00:00	2085.14	2085.76	2082.65	2083.94	4495	0	7
2024.03.04	13:00:00	2083.93	2084.56	2081.83	2082.11	4372	0	7
2024.03.04	14:00:00	2082.11	2083.42	2081.84	2082.62	4320	0	7
2024.03.04	15:00:00	2082.63	2093.15	2081.16	2091.59	8856	0	7
2024.03.04	16:00:00	2091.60	2101.43	2090.51	2100.81	11999	0	7
2024.03.04	17:00:00	2100.80	2109.32	2097.62	2109.10	10427	0	7
2024.03.04	18:00:00	2109.00	2119.88	2107.76	2119.22	11822	0	7
2024.03.04	19:00:00	2119.25	2119.72	2113.94	2116.46	7365	0	7
2024.03.04	20:00:00	2116.45	2118.04	2113.53	2115.29	4959	0	7
2024.03.04	21:00:00	2115.29	2117.28	2113.29	2116.30	3570	0	7
2024.03.04	22:00:00	2116.30	2118.50	2115.41	2116.65	3160	0	7
2024.03.04	23:00:00	2116.65	2117.28	2114.97	2115.16	993	0	7
2024.03.05	01:00:00	2114.06	2115.85	2113.67	2114.58	1238	0	12
2024.03.05	02:00:00	2114.58	2115.86	2114.13	2115.45	2009	0	12
2024.03.05	03:00:00	2115.47	2116.79	2110.43	2112.62	5311	0	12
2024.03.05	04:00:00	2112.60	2113.25	2111.35	2112.29	2604	0	12
2024.03.05	05:00:00	2112.29	2113.96	2111.18	2112.95	2533	0	12
2024.03.05	06:00:00	2112.95	2115.90	2112.60	2115.86	1799	0	12
2024.03.05	07:00:00	2115.82	2119.70	2115.32	2119.26	3200	0	12
2024.03.05	08:00:00	2119.26	2119.53	2115.19	2117.29	3565	0	12
2024.03.05	09:00:00	2117.29	2117.77	2113.93	2114.45	4751	0	7
